"id","first_name","last_name","date_of_migration","migration_type","from_region","to_region","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
77,"Q","Q",2019-07-23,"Out","No","",77,2,2019-02-13,2019-02-13,"user_1","user_1"
78,"R","R",2020-04-08,"In","","Yes",78,6,2019-08-12,2019-08-12,"user_1","user_1"
79,"S","S",2020-12-24,"Out","No","",79,5,2020-02-08,2020-02-08,"user_1","user_1"
80,"T","T",2021-09-10,"In","","Yes",80,5,2020-08-06,2020-08-06,"user_1","user_1"
81,"A","A",2018-11-05,"Out","No","",81,5,2018-08-17,2018-08-17,"user_1","user_1"
82,"B","B",2019-07-23,"In","","Yes",82,2,2019-02-13,2019-02-13,"user_1","user_1"
83,"C","C",2020-04-08,"Out","No","",83,4,2019-08-12,2019-08-12,"user_1","user_1"
84,"D","D",2020-12-24,"In","","Yes",84,5,2020-02-08,2020-02-08,"user_1","user_1"
85,"E","E",2021-09-10,"Out","No","",85,4,2020-08-06,2020-08-06,"user_1","user_1"
86,"F","F",2018-11-05,"In","","Yes",86,4,2018-08-17,2018-08-17,"user_1","user_1"
87,"G","G",2019-07-23,"Out","No","",87,2,2019-02-13,2019-02-13,"user_1","user_1"
88,"H","H",2020-04-08,"In","","Yes",88,6,2019-08-12,2019-08-12,"user_1","user_1"
89,"I","I",2020-12-24,"Out","No","",89,3,2020-02-08,2020-02-08,"user_1","user_1"
90,"J","J",2021-09-10,"In","","Yes",90,4,2020-08-06,2020-08-06,"user_1","user_1"
91,"K","K",2018-11-05,"Out","No","",91,2,2018-08-17,2018-08-17,"user_1","user_1"
92,"L","L",2019-07-23,"In","","Yes",92,4,2019-02-13,2019-02-13,"user_1","user_1"
93,"M","M",2020-04-08,"Out","No","",93,4,2019-08-12,2019-08-12,"user_1","user_1"
94,"N","N",2020-12-24,"In","","Yes",94,5,2020-02-08,2020-02-08,"user_1","user_1"
95,"O","O",2021-09-10,"Out","No","",95,1,2020-08-06,2020-08-06,"user_1","user_1"
96,"P","P",2018-11-05,"In","","Yes",96,1,2018-08-17,2018-08-17,"user_1","user_1"
97,"Q","Q",2019-07-23,"Out","No","",97,4,2019-02-13,2019-02-13,"user_1","user_1"
98,"R","R",2020-04-08,"In","","Yes",98,1,2019-08-12,2019-08-12,"user_1","user_1"
99,"S","S",2020-12-24,"Out","No","",99,2,2020-02-08,2020-02-08,"user_1","user_1"
100,"T","T",2021-09-10,"In","","Yes",100,3,2020-08-06,2020-08-06,"user_1","user_1"
101,"A","A",2018-11-05,"Out","No","",101,5,2018-08-17,2018-08-17,"user_1","user_1"
102,"B","B",2019-07-23,"In","","Yes",102,3,2019-02-13,2019-02-13,"user_1","user_1"
103,"C","C",2020-04-08,"Out","No","",103,5,2019-08-12,2019-08-12,"user_1","user_1"
104,"D","D",2020-12-24,"In","","Yes",104,6,2020-02-08,2020-02-08,"user_1","user_1"
105,"E","E",2021-09-10,"Out","No","",105,4,2020-08-06,2020-08-06,"user_1","user_1"
106,"F","F",2018-11-05,"In","","Yes",106,5,2018-08-17,2018-08-17,"user_1","user_1"
107,"G","G",2019-07-23,"Out","No","",107,3,2019-02-13,2019-02-13,"user_1","user_1"
108,"H","H",2020-04-08,"In","","Yes",108,4,2019-08-12,2019-08-12,"user_1","user_1"
109,"I","I",2020-12-24,"Out","No","",109,6,2020-02-08,2020-02-08,"user_1","user_1"
110,"J","J",2021-09-10,"In","","Yes",110,1,2020-08-06,2020-08-06,"user_1","user_1"
111,"K","K",2018-11-05,"Out","No","",111,2,2018-08-17,2018-08-17,"user_1","user_1"
112,"L","L",2019-07-23,"In","","Yes",112,5,2019-02-13,2019-02-13,"user_1","user_1"
113,"M","M",2020-04-08,"Out","No","",113,3,2019-08-12,2019-08-12,"user_1","user_1"
114,"N","N",2020-12-24,"In","","Yes",114,3,2020-02-08,2020-02-08,"user_1","user_1"
115,"O","O",2021-09-10,"Out","No","",115,6,2020-08-06,2020-08-06,"user_1","user_1"
116,"P","P",2018-11-05,"In","","Yes",116,1,2018-08-17,2018-08-17,"user_1","user_1"
117,"Q","Q",2019-07-23,"Out","No","",117,5,2019-02-13,2019-02-13,"user_1","user_1"
118,"R","R",2020-04-08,"In","","Yes",118,4,2019-08-12,2019-08-12,"user_1","user_1"
119,"S","S",2020-12-24,"Out","No","",119,4,2020-02-08,2020-02-08,"user_1","user_1"
120,"T","T",2021-09-10,"In","","Yes",120,5,2020-08-06,2020-08-06,"user_1","user_1"
121,"A","A",2018-11-05,"Out","No","",121,2,2018-08-17,2018-08-17,"user_1","user_1"
122,"B","B",2019-07-23,"In","","Yes",122,1,2019-02-13,2019-02-13,"user_1","user_1"
123,"C","C",2020-04-08,"Out","No","",123,6,2019-08-12,2019-08-12,"user_1","user_1"
124,"D","D",2020-12-24,"In","","Yes",124,6,2020-02-08,2020-02-08,"user_1","user_1"
125,"E","E",2021-09-10,"Out","No","",125,2,2020-08-06,2020-08-06,"user_1","user_1"
126,"F","F",2018-11-05,"In","","Yes",126,2,2018-08-17,2018-08-17,"user_1","user_1"
127,"G","G",2019-07-23,"Out","No","",127,1,2019-02-13,2019-02-13,"user_1","user_1"
128,"H","H",2020-04-08,"In","","Yes",128,2,2019-08-12,2019-08-12,"user_1","user_1"
129,"I","I",2020-12-24,"Out","No","",129,2,2020-02-08,2020-02-08,"user_1","user_1"
130,"J","J",2021-09-10,"In","","Yes",130,1,2020-08-06,2020-08-06,"user_1","user_1"
131,"K","K",2018-11-05,"Out","No","",131,6,2018-08-17,2018-08-17,"user_1","user_1"
132,"L","L",2019-07-23,"In","","Yes",132,2,2019-02-13,2019-02-13,"user_1","user_1"
133,"M","M",2020-04-08,"Out","No","",133,2,2019-08-12,2019-08-12,"user_1","user_1"
134,"N","N",2020-12-24,"In","","Yes",134,4,2020-02-08,2020-02-08,"user_1","user_1"
135,"O","O",2021-09-10,"Out","No","",135,1,2020-08-06,2020-08-06,"user_1","user_1"
136,"P","P",2018-11-05,"In","","Yes",136,2,2018-08-17,2018-08-17,"user_1","user_1"
137,"Q","Q",2019-07-23,"Out","No","",137,5,2019-02-13,2019-02-13,"user_1","user_1"
138,"R","R",2020-04-08,"In","","Yes",138,6,2019-08-12,2019-08-12,"user_1","user_1"
139,"S","S",2020-12-24,"Out","No","",139,3,2020-02-08,2020-02-08,"user_1","user_1"
140,"T","T",2021-09-10,"In","","Yes",140,5,2020-08-06,2020-08-06,"user_1","user_1"
141,"A","A",2018-11-05,"Out","No","",141,2,2018-08-17,2018-08-17,"user_1","user_1"
142,"B","B",2019-07-23,"In","","Yes",142,2,2019-02-13,2019-02-13,"user_1","user_1"
143,"C","C",2020-04-08,"Out","No","",143,3,2019-08-12,2019-08-12,"user_1","user_1"
144,"D","D",2020-12-24,"In","","Yes",144,6,2020-02-08,2020-02-08,"user_1","user_1"
145,"E","E",2021-09-10,"Out","No","",145,5,2020-08-06,2020-08-06,"user_1","user_1"
146,"F","F",2018-11-05,"In","","Yes",146,5,2018-08-17,2018-08-17,"user_1","user_1"
147,"G","G",2019-07-23,"Out","No","",147,1,2019-02-13,2019-02-13,"user_1","user_1"
148,"H","H",2020-04-08,"In","","Yes",148,5,2019-08-12,2019-08-12,"user_1","user_1"
149,"I","I",2020-12-24,"Out","No","",149,4,2020-02-08,2020-02-08,"user_1","user_1"
150,"J","J",2021-09-10,"In","","Yes",150,6,2020-08-06,2020-08-06,"user_1","user_1"
151,"K","K",2018-11-05,"Out","No","",151,3,2018-08-17,2018-08-17,"user_1","user_1"
152,"L","L",2019-07-23,"In","","Yes",152,6,2019-02-13,2019-02-13,"user_1","user_1"
153,"M","M",2020-04-08,"Out","No","",153,5,2019-08-12,2019-08-12,"user_1","user_1"
154,"N","N",2020-12-24,"In","","Yes",154,4,2020-02-08,2020-02-08,"user_1","user_1"
155,"O","O",2021-09-10,"Out","No","",155,3,2020-08-06,2020-08-06,"user_1","user_1"
156,"P","P",2018-11-05,"In","","Yes",156,6,2018-08-17,2018-08-17,"user_1","user_1"
157,"Q","Q",2019-07-23,"Out","No","",157,5,2019-02-13,2019-02-13,"user_1","user_1"
158,"R","R",2020-04-08,"In","","Yes",158,5,2019-08-12,2019-08-12,"user_1","user_1"
159,"S","S",2020-12-24,"Out","No","",159,6,2020-02-08,2020-02-08,"user_1","user_1"
160,"T","T",2021-09-10,"In","","Yes",160,4,2020-08-06,2020-08-06,"user_1","user_1"
161,"A","A",2018-11-05,"Out","No","",161,5,2018-08-17,2018-08-17,"user_1","user_1"
162,"B","B",2019-07-23,"In","","Yes",162,5,2019-02-13,2019-02-13,"user_1","user_1"
163,"C","C",2020-04-08,"Out","No","",163,5,2019-08-12,2019-08-12,"user_1","user_1"
164,"D","D",2020-12-24,"In","","Yes",164,6,2020-02-08,2020-02-08,"user_1","user_1"
165,"E","E",2021-09-10,"Out","No","",165,1,2020-08-06,2020-08-06,"user_1","user_1"
166,"F","F",2018-11-05,"In","","Yes",166,5,2018-08-17,2018-08-17,"user_1","user_1"
167,"G","G",2019-07-23,"Out","No","",167,3,2019-02-13,2019-02-13,"user_1","user_1"
168,"H","H",2020-04-08,"In","","Yes",168,5,2019-08-12,2019-08-12,"user_1","user_1"
169,"I","I",2020-12-24,"Out","No","",169,4,2020-02-08,2020-02-08,"user_1","user_1"
170,"J","J",2021-09-10,"In","","Yes",170,4,2020-08-06,2020-08-06,"user_1","user_1"
171,"K","K",2018-11-05,"Out","No","",171,3,2018-08-17,2018-08-17,"user_1","user_1"
172,"L","L",2019-07-23,"In","","Yes",172,1,2019-02-13,2019-02-13,"user_1","user_1"
173,"M","M",2020-04-08,"Out","No","",173,5,2019-08-12,2019-08-12,"user_1","user_1"
174,"N","N",2020-12-24,"In","","Yes",174,2,2020-02-08,2020-02-08,"user_1","user_1"
175,"O","O",2021-09-10,"Out","No","",175,5,2020-08-06,2020-08-06,"user_1","user_1"
176,"P","P",2018-11-05,"In","","Yes",176,3,2018-08-17,2018-08-17,"user_1","user_1"
177,"Q","Q",2019-07-23,"Out","No","",177,3,2019-02-13,2019-02-13,"user_1","user_1"
178,"R","R",2020-04-08,"In","","Yes",178,6,2019-08-12,2019-08-12,"user_1","user_1"
179,"S","S",2020-12-24,"Out","No","",179,1,2020-02-08,2020-02-08,"user_1","user_1"
180,"T","T",2021-09-10,"In","","Yes",180,5,2020-08-06,2020-08-06,"user_1","user_1"
181,"A","A",2018-11-05,"Out","No","",181,6,2018-08-17,2018-08-17,"user_1","user_1"
182,"B","B",2019-07-23,"In","","Yes",182,5,2019-02-13,2019-02-13,"user_1","user_1"
183,"C","C",2020-04-08,"Out","No","",183,1,2019-08-12,2019-08-12,"user_1","user_1"
184,"D","D",2020-12-24,"In","","Yes",184,5,2020-02-08,2020-02-08,"user_1","user_1"
185,"E","E",2021-09-10,"Out","No","",185,5,2020-08-06,2020-08-06,"user_1","user_1"
186,"F","F",2018-11-05,"In","","Yes",186,6,2018-08-17,2018-08-17,"user_1","user_1"
187,"G","G",2019-07-23,"Out","No","",187,5,2019-02-13,2019-02-13,"user_1","user_1"
188,"H","H",2020-04-08,"In","","Yes",188,6,2019-08-12,2019-08-12,"user_1","user_1"
189,"I","I",2020-12-24,"Out","No","",189,6,2020-02-08,2020-02-08,"user_1","user_1"
190,"J","J",2021-09-10,"In","","Yes",190,3,2020-08-06,2020-08-06,"user_1","user_1"
191,"K","K",2018-11-05,"Out","No","",191,4,2018-08-17,2018-08-17,"user_1","user_1"
192,"L","L",2019-07-23,"In","","Yes",192,4,2019-02-13,2019-02-13,"user_1","user_1"
193,"M","M",2020-04-08,"Out","No","",193,6,2019-08-12,2019-08-12,"user_1","user_1"
194,"N","N",2020-12-24,"In","","Yes",194,3,2020-02-08,2020-02-08,"user_1","user_1"
195,"O","O",2021-09-10,"Out","No","",195,4,2020-08-06,2020-08-06,"user_1","user_1"
196,"P","P",2018-11-05,"In","","Yes",196,5,2018-08-17,2018-08-17,"user_1","user_1"
197,"Q","Q",2019-07-23,"Out","No","",197,6,2019-02-13,2019-02-13,"user_1","user_1"
198,"R","R",2020-04-08,"In","","Yes",198,2,2019-08-12,2019-08-12,"user_1","user_1"
199,"S","S",2020-12-24,"Out","No","",199,3,2020-02-08,2020-02-08,"user_1","user_1"
200,"T","T",2021-09-10,"In","","Yes",200,3,2020-08-06,2020-08-06,"user_1","user_1"
201,"A","A",2018-11-05,"Out","No","",201,1,2018-08-17,2018-08-17,"user_1","user_1"
202,"B","B",2019-07-23,"In","","Yes",202,2,2019-02-13,2019-02-13,"user_1","user_1"
203,"C","C",2020-04-08,"Out","No","",203,6,2019-08-12,2019-08-12,"user_1","user_1"
204,"D","D",2020-12-24,"In","","Yes",204,4,2020-02-08,2020-02-08,"user_1","user_1"
205,"E","E",2021-09-10,"Out","No","",205,6,2020-08-06,2020-08-06,"user_1","user_1"
206,"F","F",2018-11-05,"In","","Yes",206,4,2018-08-17,2018-08-17,"user_1","user_1"
207,"G","G",2019-07-23,"Out","No","",207,3,2019-02-13,2019-02-13,"user_1","user_1"
208,"H","H",2020-04-08,"In","","Yes",208,5,2019-08-12,2019-08-12,"user_1","user_1"
209,"I","I",2020-12-24,"Out","No","",209,6,2020-02-08,2020-02-08,"user_1","user_1"
210,"J","J",2021-09-10,"In","","Yes",210,1,2020-08-06,2020-08-06,"user_1","user_1"
211,"K","K",2018-11-05,"Out","No","",211,3,2018-08-17,2018-08-17,"user_1","user_1"
212,"L","L",2019-07-23,"In","","Yes",212,6,2019-02-13,2019-02-13,"user_1","user_1"
213,"M","M",2020-04-08,"Out","No","",213,2,2019-08-12,2019-08-12,"user_1","user_1"
214,"N","N",2020-12-24,"In","","Yes",214,5,2020-02-08,2020-02-08,"user_1","user_1"
215,"O","O",2021-09-10,"Out","No","",215,2,2020-08-06,2020-08-06,"user_1","user_1"
216,"P","P",2018-11-05,"In","","Yes",216,6,2018-08-17,2018-08-17,"user_1","user_1"
217,"Q","Q",2019-07-23,"Out","No","",217,2,2019-02-13,2019-02-13,"user_1","user_1"
218,"R","R",2020-04-08,"In","","Yes",218,5,2019-08-12,2019-08-12,"user_1","user_1"
219,"S","S",2020-12-24,"Out","No","",219,2,2020-02-08,2020-02-08,"user_1","user_1"
220,"T","T",2021-09-10,"In","","Yes",220,3,2020-08-06,2020-08-06,"user_1","user_1"
221,"A","A",2018-11-05,"Out","No","",221,1,2018-08-17,2018-08-17,"user_1","user_1"
222,"B","B",2019-07-23,"In","","Yes",222,6,2019-02-13,2019-02-13,"user_1","user_1"
223,"C","C",2020-04-08,"Out","No","",223,3,2019-08-12,2019-08-12,"user_1","user_1"
224,"D","D",2020-12-24,"In","","Yes",224,2,2020-02-08,2020-02-08,"user_1","user_1"
225,"E","E",2021-09-10,"Out","No","",225,5,2020-08-06,2020-08-06,"user_1","user_1"
226,"F","F",2018-11-05,"In","","Yes",226,1,2018-08-17,2018-08-17,"user_1","user_1"
227,"G","G",2019-07-23,"Out","No","",227,2,2019-02-13,2019-02-13,"user_1","user_1"
228,"H","H",2020-04-08,"In","","Yes",228,6,2019-08-12,2019-08-12,"user_1","user_1"
229,"I","I",2020-12-24,"Out","No","",229,3,2020-02-08,2020-02-08,"user_1","user_1"
230,"J","J",2021-09-10,"In","","Yes",230,2,2020-08-06,2020-08-06,"user_1","user_1"
231,"K","K",2018-11-05,"Out","No","",231,4,2018-08-17,2018-08-17,"user_1","user_1"
232,"L","L",2019-07-23,"In","","Yes",232,1,2019-02-13,2019-02-13,"user_1","user_1"
233,"M","M",2020-04-08,"Out","No","",233,6,2019-08-12,2019-08-12,"user_1","user_1"
234,"N","N",2020-12-24,"In","","Yes",234,4,2020-02-08,2020-02-08,"user_1","user_1"
235,"O","O",2021-09-10,"Out","No","",235,5,2020-08-06,2020-08-06,"user_1","user_1"
236,"P","P",2018-11-05,"In","","Yes",236,1,2018-08-17,2018-08-17,"user_1","user_1"
237,"Q","Q",2019-07-23,"Out","No","",237,6,2019-02-13,2019-02-13,"user_1","user_1"
238,"R","R",2020-04-08,"In","","Yes",238,2,2019-08-12,2019-08-12,"user_1","user_1"
239,"S","S",2020-12-24,"Out","No","",239,6,2020-02-08,2020-02-08,"user_1","user_1"
240,"T","T",2021-09-10,"In","","Yes",240,3,2020-08-06,2020-08-06,"user_1","user_1"
241,"A","A",2018-11-05,"Out","No","",241,4,2018-08-17,2018-08-17,"user_1","user_1"
242,"B","B",2019-07-23,"In","","Yes",242,6,2019-02-13,2019-02-13,"user_1","user_1"
243,"C","C",2020-04-08,"Out","No","",243,1,2019-08-12,2019-08-12,"user_1","user_1"
244,"D","D",2020-12-24,"In","","Yes",244,1,2020-02-08,2020-02-08,"user_1","user_1"
245,"E","E",2021-09-10,"Out","No","",245,5,2020-08-06,2020-08-06,"user_1","user_1"
246,"F","F",2018-11-05,"In","","Yes",246,6,2018-08-17,2018-08-17,"user_1","user_1"
247,"G","G",2019-07-23,"Out","No","",247,2,2019-02-13,2019-02-13,"user_1","user_1"
248,"H","H",2020-04-08,"In","","Yes",248,4,2019-08-12,2019-08-12,"user_1","user_1"
249,"I","I",2020-12-24,"Out","No","",249,3,2020-02-08,2020-02-08,"user_1","user_1"
250,"J","J",2021-09-10,"In","","Yes",250,2,2020-08-06,2020-08-06,"user_1","user_1"
251,"K","K",2018-11-05,"Out","No","",251,1,2018-08-17,2018-08-17,"user_1","user_1"
252,"L","L",2019-07-23,"In","","Yes",252,2,2019-02-13,2019-02-13,"user_1","user_1"
253,"M","M",2020-04-08,"Out","No","",253,4,2019-08-12,2019-08-12,"user_1","user_1"
254,"N","N",2020-12-24,"In","","Yes",254,2,2020-02-08,2020-02-08,"user_1","user_1"
255,"O","O",2021-09-10,"Out","No","",255,1,2020-08-06,2020-08-06,"user_1","user_1"
256,"P","P",2018-11-05,"In","","Yes",256,6,2018-08-17,2018-08-17,"user_1","user_1"
257,"Q","Q",2019-07-23,"Out","No","",257,1,2019-02-13,2019-02-13,"user_1","user_1"
258,"R","R",2020-04-08,"In","","Yes",258,6,2019-08-12,2019-08-12,"user_1","user_1"
259,"S","S",2020-12-24,"Out","No","",259,4,2020-02-08,2020-02-08,"user_1","user_1"
260,"T","T",2021-09-10,"In","","Yes",260,6,2020-08-06,2020-08-06,"user_1","user_1"
261,"A","A",2018-11-05,"Out","No","",261,4,2018-08-17,2018-08-17,"user_1","user_1"
262,"B","B",2019-07-23,"In","","Yes",262,2,2019-02-13,2019-02-13,"user_1","user_1"
263,"C","C",2020-04-08,"Out","No","",263,6,2019-08-12,2019-08-12,"user_1","user_1"
264,"D","D",2020-12-24,"In","","Yes",264,6,2020-02-08,2020-02-08,"user_1","user_1"
265,"E","E",2021-09-10,"Out","No","",265,4,2020-08-06,2020-08-06,"user_1","user_1"
266,"F","F",2018-11-05,"In","","Yes",266,3,2018-08-17,2018-08-17,"user_1","user_1"
267,"G","G",2019-07-23,"Out","No","",267,1,2019-02-13,2019-02-13,"user_1","user_1"
268,"H","H",2020-04-08,"In","","Yes",268,3,2019-08-12,2019-08-12,"user_1","user_1"
269,"I","I",2020-12-24,"Out","No","",269,6,2020-02-08,2020-02-08,"user_1","user_1"
270,"J","J",2021-09-10,"In","","Yes",270,1,2020-08-06,2020-08-06,"user_1","user_1"
271,"K","K",2018-11-05,"Out","No","",271,5,2018-08-17,2018-08-17,"user_1","user_1"
272,"L","L",2019-07-23,"In","","Yes",272,2,2019-02-13,2019-02-13,"user_1","user_1"
273,"M","M",2020-04-08,"Out","No","",273,2,2019-08-12,2019-08-12,"user_1","user_1"
274,"N","N",2020-12-24,"In","","Yes",274,1,2020-02-08,2020-02-08,"user_1","user_1"
275,"O","O",2021-09-10,"Out","No","",275,1,2020-08-06,2020-08-06,"user_1","user_1"
276,"P","P",2018-11-05,"In","","Yes",276,5,2018-08-17,2018-08-17,"user_1","user_1"
277,"Q","Q",2019-07-23,"Out","No","",277,6,2019-02-13,2019-02-13,"user_1","user_1"
278,"R","R",2020-04-08,"In","","Yes",278,5,2019-08-12,2019-08-12,"user_1","user_1"
279,"S","S",2020-12-24,"Out","No","",279,4,2020-02-08,2020-02-08,"user_1","user_1"
