"id","first_name","last_name","date_of_migration","migration_type","from_region","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
67,"G","G","2019-07-23","In","yes",67,2,"2019-02-13","2019-02-13","user_1","user_1"
68,"H","H","2020-04-08","In","yes",68,3,"2019-08-12","2019-08-12","user_1","user_1"
69,"I","I","2020-12-24","In","yes",69,4,"2020-02-08","2020-02-08","user_1","user_1"
70,"J","J","2021-09-10","In","yes",70,5,"2020-08-06","2020-08-06","user_1","user_1"
71,"K","K","2018-11-05","In","yes",71,1,"2018-08-17","2018-08-17","user_1","user_1"
72,"L","L","2019-07-23","In","yes",72,2,"2019-02-13","2019-02-13","user_1","user_1"
73,"M","M","2020-04-08","In","yes",73,3,"2019-08-12","2019-08-12","user_1","user_1"
74,"N","N","2020-12-24","In","yes",74,4,"2020-02-08","2020-02-08","user_1","user_1"
75,"O","O","2021-09-10","In","yes",75,5,"2020-08-06","2020-08-06","user_1","user_1"
76,"P","P","2018-11-05","In","yes",76,1,"2018-08-17","2018-08-17","user_1","user_1"
77,"Q","Q","2019-07-23","In","yes",77,2,"2019-02-13","2019-02-13","user_1","user_1"
78,"R","R","2020-04-08","In","yes",78,3,"2019-08-12","2019-08-12","user_1","user_1"
79,"S","S","2020-12-24","In","yes",79,4,"2020-02-08","2020-02-08","user_1","user_1"
80,"T","T","2021-09-10","In","yes",80,5,"2020-08-06","2020-08-06","user_1","user_1"
81,"A","A","2018-11-05","In","yes",81,1,"2018-08-17","2018-08-17","user_1","user_1"
82,"B","B","2019-07-23","In","yes",82,2,"2019-02-13","2019-02-13","user_1","user_1"
83,"C","C","2020-04-08","In","yes",83,3,"2019-08-12","2019-08-12","user_1","user_1"
84,"D","D","2020-12-24","In","yes",84,4,"2020-02-08","2020-02-08","user_1","user_1"
85,"E","E","2021-09-10","In","yes",85,5,"2020-08-06","2020-08-06","user_1","user_1"
86,"F","F","2018-11-05","In","yes",86,1,"2018-08-17","2018-08-17","user_1","user_1"
87,"G","G","2019-07-23","In","yes",87,2,"2019-02-13","2019-02-13","user_1","user_1"
88,"H","H","2020-04-08","In","yes",88,3,"2019-08-12","2019-08-12","user_1","user_1"
89,"I","I","2020-12-24","In","yes",89,4,"2020-02-08","2020-02-08","user_1","user_1"
90,"J","J","2021-09-10","In","yes",90,5,"2020-08-06","2020-08-06","user_1","user_1"
91,"K","K","2018-11-05","In","yes",91,1,"2018-08-17","2018-08-17","user_1","user_1"
92,"L","L","2019-07-23","In","yes",92,2,"2019-02-13","2019-02-13","user_1","user_1"
93,"M","M","2020-04-08","In","yes",93,3,"2019-08-12","2019-08-12","user_1","user_1"
94,"N","N","2020-12-24","In","yes",94,4,"2020-02-08","2020-02-08","user_1","user_1"
95,"O","O","2021-09-10","In","yes",95,5,"2020-08-06","2020-08-06","user_1","user_1"
96,"P","P","2018-11-05","In","yes",96,1,"2018-08-17","2018-08-17","user_1","user_1"
97,"Q","Q","2019-07-23","In","yes",97,2,"2019-02-13","2019-02-13","user_1","user_1"
98,"R","R","2020-04-08","In","yes",98,3,"2019-08-12","2019-08-12","user_1","user_1"
99,"S","S","2020-12-24","In","yes",99,4,"2020-02-08","2020-02-08","user_1","user_1"
100,"T","T","2021-09-10","In","yes",100,5,"2020-08-06","2020-08-06","user_1","user_1"
101,"A","A","2018-11-05","In","yes",101,1,"2018-08-17","2018-08-17","user_1","user_1"
102,"B","B","2019-07-23","In","yes",102,2,"2019-02-13","2019-02-13","user_1","user_1"
103,"C","C","2020-04-08","In","yes",103,3,"2019-08-12","2019-08-12","user_1","user_1"
104,"D","D","2020-12-24","In","yes",104,4,"2020-02-08","2020-02-08","user_1","user_1"
105,"E","E","2021-09-10","In","yes",105,5,"2020-08-06","2020-08-06","user_1","user_1"
106,"F","F","2018-11-05","In","yes",106,1,"2018-08-17","2018-08-17","user_1","user_1"
107,"G","G","2019-07-23","In","yes",107,2,"2019-02-13","2019-02-13","user_1","user_1"
108,"H","H","2020-04-08","In","yes",108,3,"2019-08-12","2019-08-12","user_1","user_1"
109,"I","I","2020-12-24","In","yes",109,4,"2020-02-08","2020-02-08","user_1","user_1"
110,"J","J","2021-09-10","In","yes",110,5,"2020-08-06","2020-08-06","user_1","user_1"
111,"K","K","2018-11-05","In","yes",111,1,"2018-08-17","2018-08-17","user_1","user_1"
112,"L","L","2019-07-23","In","yes",112,2,"2019-02-13","2019-02-13","user_1","user_1"
113,"M","M","2020-04-08","In","yes",113,3,"2019-08-12","2019-08-12","user_1","user_1"
114,"N","N","2020-12-24","In","yes",114,4,"2020-02-08","2020-02-08","user_1","user_1"
115,"O","O","2021-09-10","In","yes",115,5,"2020-08-06","2020-08-06","user_1","user_1"
116,"P","P","2018-11-05","In","yes",116,1,"2018-08-17","2018-08-17","user_1","user_1"
117,"Q","Q","2019-07-23","In","yes",117,2,"2019-02-13","2019-02-13","user_1","user_1"
118,"R","R","2020-04-08","In","yes",118,3,"2019-08-12","2019-08-12","user_1","user_1"
119,"S","S","2020-12-24","In","yes",119,4,"2020-02-08","2020-02-08","user_1","user_1"
120,"T","T","2021-09-10","In","yes",120,5,"2020-08-06","2020-08-06","user_1","user_1"
121,"A","A","2018-11-05","In","yes",121,1,"2018-08-17","2018-08-17","user_1","user_1"
122,"B","B","2019-07-23","In","yes",122,2,"2019-02-13","2019-02-13","user_1","user_1"
123,"C","C","2020-04-08","In","yes",123,3,"2019-08-12","2019-08-12","user_1","user_1"
124,"D","D","2020-12-24","In","yes",124,4,"2020-02-08","2020-02-08","user_1","user_1"
125,"E","E","2021-09-10","In","yes",125,5,"2020-08-06","2020-08-06","user_1","user_1"
126,"F","F","2018-11-05","In","yes",126,1,"2018-08-17","2018-08-17","user_1","user_1"
127,"G","G","2019-07-23","In","yes",127,2,"2019-02-13","2019-02-13","user_1","user_1"
128,"H","H","2020-04-08","In","yes",128,3,"2019-08-12","2019-08-12","user_1","user_1"
129,"I","I","2020-12-24","In","yes",129,4,"2020-02-08","2020-02-08","user_1","user_1"
130,"J","J","2021-09-10","In","yes",130,5,"2020-08-06","2020-08-06","user_1","user_1"
131,"K","K","2018-11-05","In","yes",131,1,"2018-08-17","2018-08-17","user_1","user_1"
132,"L","L","2019-07-23","In","yes",132,2,"2019-02-13","2019-02-13","user_1","user_1"
133,"M","M","2020-04-08","In","yes",133,3,"2019-08-12","2019-08-12","user_1","user_1"
134,"N","N","2020-12-24","In","yes",134,4,"2020-02-08","2020-02-08","user_1","user_1"
135,"O","O","2021-09-10","In","yes",135,5,"2020-08-06","2020-08-06","user_1","user_1"
136,"P","P","2018-11-05","In","yes",136,1,"2018-08-17","2018-08-17","user_1","user_1"
137,"Q","Q","2019-07-23","In","yes",137,2,"2019-02-13","2019-02-13","user_1","user_1"
138,"R","R","2020-04-08","In","yes",138,3,"2019-08-12","2019-08-12","user_1","user_1"
139,"S","S","2020-12-24","In","yes",139,4,"2020-02-08","2020-02-08","user_1","user_1"
140,"T","T","2021-09-10","In","yes",140,5,"2020-08-06","2020-08-06","user_1","user_1"
141,"A","A","2018-11-05","In","yes",141,1,"2018-08-17","2018-08-17","user_1","user_1"
142,"B","B","2019-07-23","In","yes",142,2,"2019-02-13","2019-02-13","user_1","user_1"
143,"C","C","2020-04-08","In","yes",143,3,"2019-08-12","2019-08-12","user_1","user_1"
144,"D","D","2020-12-24","In","yes",144,4,"2020-02-08","2020-02-08","user_1","user_1"
145,"E","E","2021-09-10","In","yes",145,5,"2020-08-06","2020-08-06","user_1","user_1"
146,"F","F","2018-11-05","In","yes",146,1,"2018-08-17","2018-08-17","user_1","user_1"
147,"G","G","2019-07-23","In","yes",147,2,"2019-02-13","2019-02-13","user_1","user_1"
148,"H","H","2020-04-08","In","yes",148,3,"2019-08-12","2019-08-12","user_1","user_1"
149,"I","I","2020-12-24","In","yes",149,4,"2020-02-08","2020-02-08","user_1","user_1"
150,"J","J","2021-09-10","In","yes",150,5,"2020-08-06","2020-08-06","user_1","user_1"
151,"K","K","2018-11-05","In","yes",151,1,"2018-08-17","2018-08-17","user_1","user_1"
152,"L","L","2019-07-23","In","yes",152,2,"2019-02-13","2019-02-13","user_1","user_1"
153,"M","M","2020-04-08","In","yes",153,3,"2019-08-12","2019-08-12","user_1","user_1"
154,"N","N","2020-12-24","In","yes",154,4,"2020-02-08","2020-02-08","user_1","user_1"
155,"O","O","2021-09-10","In","yes",155,5,"2020-08-06","2020-08-06","user_1","user_1"
156,"P","P","2018-11-05","In","yes",156,1,"2018-08-17","2018-08-17","user_1","user_1"
157,"Q","Q","2019-07-23","In","yes",157,2,"2019-02-13","2019-02-13","user_1","user_1"
158,"R","R","2020-04-08","In","yes",158,3,"2019-08-12","2019-08-12","user_1","user_1"
159,"S","S","2020-12-24","In","yes",159,4,"2020-02-08","2020-02-08","user_1","user_1"
160,"T","T","2021-09-10","In","yes",160,5,"2020-08-06","2020-08-06","user_1","user_1"
161,"A","A","2018-11-05","In","yes",161,1,"2018-08-17","2018-08-17","user_1","user_1"
162,"B","B","2019-07-23","In","yes",162,2,"2019-02-13","2019-02-13","user_1","user_1"
163,"C","C","2020-04-08","In","yes",163,3,"2019-08-12","2019-08-12","user_1","user_1"
164,"D","D","2020-12-24","In","yes",164,4,"2020-02-08","2020-02-08","user_1","user_1"
165,"E","E","2021-09-10","In","yes",165,5,"2020-08-06","2020-08-06","user_1","user_1"
166,"F","F","2018-11-05","In","yes",166,1,"2018-08-17","2018-08-17","user_1","user_1"
167,"G","G","2019-07-23","In","yes",167,2,"2019-02-13","2019-02-13","user_1","user_1"
168,"H","H","2020-04-08","In","yes",168,3,"2019-08-12","2019-08-12","user_1","user_1"
169,"I","I","2020-12-24","In","yes",169,4,"2020-02-08","2020-02-08","user_1","user_1"
170,"J","J","2021-09-10","In","yes",170,5,"2020-08-06","2020-08-06","user_1","user_1"
171,"K","K","2018-11-05","In","yes",171,1,"2018-08-17","2018-08-17","user_1","user_1"
172,"L","L","2019-07-23","In","yes",172,2,"2019-02-13","2019-02-13","user_1","user_1"
173,"M","M","2020-04-08","In","yes",173,3,"2019-08-12","2019-08-12","user_1","user_1"
174,"N","N","2020-12-24","In","yes",174,4,"2020-02-08","2020-02-08","user_1","user_1"
175,"O","O","2021-09-10","In","yes",175,5,"2020-08-06","2020-08-06","user_1","user_1"
176,"P","P","2018-11-05","In","yes",176,1,"2018-08-17","2018-08-17","user_1","user_1"
177,"Q","Q","2019-07-23","In","yes",177,2,"2019-02-13","2019-02-13","user_1","user_1"
178,"R","R","2020-04-08","In","yes",178,3,"2019-08-12","2019-08-12","user_1","user_1"
179,"S","S","2020-12-24","In","yes",179,4,"2020-02-08","2020-02-08","user_1","user_1"
180,"T","T","2021-09-10","In","yes",180,5,"2020-08-06","2020-08-06","user_1","user_1"
181,"A","A","2018-11-05","In","yes",181,1,"2018-08-17","2018-08-17","user_1","user_1"
182,"B","B","2019-07-23","In","yes",182,2,"2019-02-13","2019-02-13","user_1","user_1"
183,"C","C","2020-04-08","In","yes",183,3,"2019-08-12","2019-08-12","user_1","user_1"
184,"D","D","2020-12-24","In","yes",184,4,"2020-02-08","2020-02-08","user_1","user_1"
185,"E","E","2021-09-10","In","yes",185,5,"2020-08-06","2020-08-06","user_1","user_1"
186,"F","F","2018-11-05","In","yes",186,1,"2018-08-17","2018-08-17","user_1","user_1"
187,"G","G","2019-07-23","In","yes",187,2,"2019-02-13","2019-02-13","user_1","user_1"
188,"H","H","2020-04-08","In","yes",188,3,"2019-08-12","2019-08-12","user_1","user_1"
189,"I","I","2020-12-24","In","yes",189,4,"2020-02-08","2020-02-08","user_1","user_1"
190,"J","J","2021-09-10","In","yes",190,5,"2020-08-06","2020-08-06","user_1","user_1"
191,"K","K","2018-11-05","In","yes",191,1,"2018-08-17","2018-08-17","user_1","user_1"
192,"L","L","2019-07-23","In","yes",192,2,"2019-02-13","2019-02-13","user_1","user_1"
193,"M","M","2020-04-08","In","yes",193,3,"2019-08-12","2019-08-12","user_1","user_1"
194,"N","N","2020-12-24","In","yes",194,4,"2020-02-08","2020-02-08","user_1","user_1"
195,"O","O","2021-09-10","In","yes",195,5,"2020-08-06","2020-08-06","user_1","user_1"
196,"P","P","2018-11-05","In","yes",196,1,"2018-08-17","2018-08-17","user_1","user_1"
197,"Q","Q","2019-07-23","In","yes",197,2,"2019-02-13","2019-02-13","user_1","user_1"
198,"R","R","2020-04-08","In","yes",198,3,"2019-08-12","2019-08-12","user_1","user_1"
199,"S","S","2020-12-24","In","yes",199,4,"2020-02-08","2020-02-08","user_1","user_1"
200,"T","T","2021-09-10","In","yes",200,5,"2020-08-06","2020-08-06","user_1","user_1"
201,"A","A","2018-11-05","In","yes",201,1,"2018-08-17","2018-08-17","user_1","user_1"
202,"B","B","2019-07-23","In","yes",202,2,"2019-02-13","2019-02-13","user_1","user_1"
203,"C","C","2020-04-08","In","yes",203,3,"2019-08-12","2019-08-12","user_1","user_1"
204,"D","D","2020-12-24","In","yes",204,4,"2020-02-08","2020-02-08","user_1","user_1"
205,"E","E","2021-09-10","In","yes",205,5,"2020-08-06","2020-08-06","user_1","user_1"
206,"F","F","2018-11-05","In","yes",206,1,"2018-08-17","2018-08-17","user_1","user_1"
207,"G","G","2019-07-23","In","yes",207,2,"2019-02-13","2019-02-13","user_1","user_1"
208,"H","H","2020-04-08","In","yes",208,3,"2019-08-12","2019-08-12","user_1","user_1"
209,"I","I","2020-12-24","In","yes",209,4,"2020-02-08","2020-02-08","user_1","user_1"
210,"J","J","2021-09-10","In","yes",210,5,"2020-08-06","2020-08-06","user_1","user_1"
211,"K","K","2018-11-05","In","yes",211,1,"2018-08-17","2018-08-17","user_1","user_1"
212,"L","L","2019-07-23","In","yes",212,2,"2019-02-13","2019-02-13","user_1","user_1"
213,"M","M","2020-04-08","In","yes",213,3,"2019-08-12","2019-08-12","user_1","user_1"
214,"N","N","2020-12-24","In","yes",214,4,"2020-02-08","2020-02-08","user_1","user_1"
215,"O","O","2021-09-10","In","yes",215,5,"2020-08-06","2020-08-06","user_1","user_1"
216,"P","P","2018-11-05","In","yes",216,1,"2018-08-17","2018-08-17","user_1","user_1"
217,"Q","Q","2019-07-23","In","yes",217,2,"2019-02-13","2019-02-13","user_1","user_1"
218,"R","R","2020-04-08","In","yes",218,3,"2019-08-12","2019-08-12","user_1","user_1"
219,"S","S","2020-12-24","In","yes",219,4,"2020-02-08","2020-02-08","user_1","user_1"
220,"T","T","2021-09-10","In","yes",220,5,"2020-08-06","2020-08-06","user_1","user_1"
221,"A","A","2018-11-05","In","yes",221,1,"2018-08-17","2018-08-17","user_1","user_1"
222,"B","B","2019-07-23","In","yes",222,2,"2019-02-13","2019-02-13","user_1","user_1"
223,"C","C","2020-04-08","In","yes",223,3,"2019-08-12","2019-08-12","user_1","user_1"
224,"D","D","2020-12-24","In","yes",224,4,"2020-02-08","2020-02-08","user_1","user_1"
225,"E","E","2021-09-10","In","yes",225,5,"2020-08-06","2020-08-06","user_1","user_1"
226,"F","F","2018-11-05","In","yes",226,1,"2018-08-17","2018-08-17","user_1","user_1"
227,"G","G","2019-07-23","In","yes",227,2,"2019-02-13","2019-02-13","user_1","user_1"
228,"H","H","2020-04-08","In","yes",228,3,"2019-08-12","2019-08-12","user_1","user_1"
229,"I","I","2020-12-24","In","yes",229,4,"2020-02-08","2020-02-08","user_1","user_1"
230,"J","J","2021-09-10","In","yes",230,5,"2020-08-06","2020-08-06","user_1","user_1"
231,"K","K","2018-11-05","In","yes",231,1,"2018-08-17","2018-08-17","user_1","user_1"
232,"L","L","2019-07-23","In","yes",232,2,"2019-02-13","2019-02-13","user_1","user_1"
233,"M","M","2020-04-08","In","yes",233,3,"2019-08-12","2019-08-12","user_1","user_1"
234,"N","N","2020-12-24","In","yes",234,4,"2020-02-08","2020-02-08","user_1","user_1"
235,"O","O","2021-09-10","In","yes",235,5,"2020-08-06","2020-08-06","user_1","user_1"
236,"P","P","2018-11-05","In","yes",236,1,"2018-08-17","2018-08-17","user_1","user_1"
237,"Q","Q","2019-07-23","In","yes",237,2,"2019-02-13","2019-02-13","user_1","user_1"
238,"R","R","2020-04-08","In","yes",238,3,"2019-08-12","2019-08-12","user_1","user_1"
239,"S","S","2020-12-24","In","yes",239,4,"2020-02-08","2020-02-08","user_1","user_1"
240,"T","T","2021-09-10","In","yes",240,5,"2020-08-06","2020-08-06","user_1","user_1"
241,"A","A","2018-11-05","In","yes",241,1,"2018-08-17","2018-08-17","user_1","user_1"
242,"B","B","2019-07-23","In","yes",242,2,"2019-02-13","2019-02-13","user_1","user_1"
243,"C","C","2020-04-08","In","yes",243,3,"2019-08-12","2019-08-12","user_1","user_1"
244,"D","D","2020-12-24","In","yes",244,4,"2020-02-08","2020-02-08","user_1","user_1"
245,"E","E","2021-09-10","In","yes",245,5,"2020-08-06","2020-08-06","user_1","user_1"
246,"F","F","2018-11-05","In","yes",246,1,"2018-08-17","2018-08-17","user_1","user_1"
247,"G","G","2019-07-23","In","yes",247,2,"2019-02-13","2019-02-13","user_1","user_1"
248,"H","H","2020-04-08","In","yes",248,3,"2019-08-12","2019-08-12","user_1","user_1"
249,"I","I","2020-12-24","In","yes",249,4,"2020-02-08","2020-02-08","user_1","user_1"
250,"J","J","2021-09-10","In","yes",250,5,"2020-08-06","2020-08-06","user_1","user_1"
251,"K","K","2018-11-05","In","yes",251,1,"2018-08-17","2018-08-17","user_1","user_1"
252,"L","L","2019-07-23","In","yes",252,2,"2019-02-13","2019-02-13","user_1","user_1"
253,"M","M","2020-04-08","In","yes",253,3,"2019-08-12","2019-08-12","user_1","user_1"
254,"N","N","2020-12-24","In","yes",254,4,"2020-02-08","2020-02-08","user_1","user_1"
255,"O","O","2021-09-10","In","yes",255,5,"2020-08-06","2020-08-06","user_1","user_1"
256,"P","P","2018-11-05","In","yes",256,1,"2018-08-17","2018-08-17","user_1","user_1"
257,"Q","Q","2019-07-23","In","yes",257,2,"2019-02-13","2019-02-13","user_1","user_1"
258,"R","R","2020-04-08","In","yes",258,3,"2019-08-12","2019-08-12","user_1","user_1"
259,"S","S","2020-12-24","In","yes",259,4,"2020-02-08","2020-02-08","user_1","user_1"
260,"T","T","2021-09-10","In","yes",260,5,"2020-08-06","2020-08-06","user_1","user_1"
261,"A","A","2018-11-05","In","yes",261,1,"2018-08-17","2018-08-17","user_1","user_1"
262,"B","B","2019-07-23","In","yes",262,2,"2019-02-13","2019-02-13","user_1","user_1"
263,"C","C","2020-04-08","In","yes",263,3,"2019-08-12","2019-08-12","user_1","user_1"
264,"D","D","2020-12-24","In","yes",264,4,"2020-02-08","2020-02-08","user_1","user_1"
265,"E","E","2021-09-10","In","yes",265,5,"2020-08-06","2020-08-06","user_1","user_1"
266,"F","F","2018-11-05","In","yes",266,1,"2018-08-17","2018-08-17","user_1","user_1"
267,"G","G","2019-07-23","In","yes",267,2,"2019-02-13","2019-02-13","user_1","user_1"
268,"H","H","2020-04-08","In","yes",268,3,"2019-08-12","2019-08-12","user_1","user_1"
269,"I","I","2020-12-24","In","yes",269,4,"2020-02-08","2020-02-08","user_1","user_1"
270,"J","J","2021-09-10","In","yes",270,5,"2020-08-06","2020-08-06","user_1","user_1"
271,"K","K","2018-11-05","In","yes",271,1,"2018-08-17","2018-08-17","user_1","user_1"
272,"L","L","2019-07-23","In","yes",272,2,"2019-02-13","2019-02-13","user_1","user_1"
273,"M","M","2020-04-08","In","yes",273,3,"2019-08-12","2019-08-12","user_1","user_1"
274,"N","N","2020-12-24","In","yes",274,4,"2020-02-08","2020-02-08","user_1","user_1"
275,"O","O","2021-09-10","In","yes",275,5,"2020-08-06","2020-08-06","user_1","user_1"
276,"P","P","2018-11-05","In","yes",276,1,"2018-08-17","2018-08-17","user_1","user_1"
277,"Q","Q","2019-07-23","In","yes",277,2,"2019-02-13","2019-02-13","user_1","user_1"
278,"R","R","2020-04-08","In","yes",278,3,"2019-08-12","2019-08-12","user_1","user_1"
279,"S","S","2020-12-24","In","yes",279,4,"2020-02-08","2020-02-08","user_1","user_1"
280,"T","T","2021-09-10","In","yes",280,5,"2020-08-06","2020-08-06","user_1","user_1"
281,"A","A","2018-11-05","In","yes",281,1,"2018-08-17","2018-08-17","user_1","user_1"
282,"B","B","2019-07-23","In","yes",282,2,"2019-02-13","2019-02-13","user_1","user_1"
283,"C","C","2020-04-08","In","yes",283,3,"2019-08-12","2019-08-12","user_1","user_1"
284,"D","D","2020-12-24","In","yes",284,4,"2020-02-08","2020-02-08","user_1","user_1"
285,"E","E","2021-09-10","In","yes",285,5,"2020-08-06","2020-08-06","user_1","user_1"
286,"F","F","2018-11-05","In","yes",286,1,"2018-08-17","2018-08-17","user_1","user_1"
287,"G","G","2019-07-23","In","yes",287,2,"2019-02-13","2019-02-13","user_1","user_1"
288,"H","H","2020-04-08","In","yes",288,3,"2019-08-12","2019-08-12","user_1","user_1"
289,"I","I","2020-12-24","In","yes",289,4,"2020-02-08","2020-02-08","user_1","user_1"
290,"J","J","2021-09-10","In","yes",290,5,"2020-08-06","2020-08-06","user_1","user_1"
291,"K","K","2018-11-05","In","yes",291,1,"2018-08-17","2018-08-17","user_1","user_1"
292,"L","L","2019-07-23","In","yes",292,2,"2019-02-13","2019-02-13","user_1","user_1"
293,"M","M","2020-04-08","In","yes",293,3,"2019-08-12","2019-08-12","user_1","user_1"
294,"N","N","2020-12-24","In","yes",294,4,"2020-02-08","2020-02-08","user_1","user_1"
